genre;epith.spec;espe;famille;typ.choro;typ.bio
Abrus;canescens;Abrus canescens;Fabaceae;GC-SZ;LmP
Abrus;fruticulosus;Abrus fruticulosus;Fabaceae;GC-SZ;LmP
Abrus;precatorius;Abrus precatorius;Fabaceae;GC-SZ;LmP
Acacia;kamerunensis;Acacia kamerunensis;Fabaceae;GC;LmP
Acacia;pennata;Acacia pennata;Fabaceae;GC-SZ;LmP
Achyranthes;aspera;Achyranthes aspera;Amaranthaceae;GC-SZ;Th
Acridocarpus;alternifolius;Acridocarpus alternifolius;Malpighiaceae;GC;Lmp
Adenia;cissampeloides;Adenia cissampeloides;Passifloraceae;GC;Lmp
Adenia;lobata;Adenia lobata;Passifloraceae;GC;Lmp
Adenopodia;scelerata;Adenopodia scelerata;Fabaceae;GC;LmP
Aframomum;exscapum;Aframomum exscapum;Zingiberaceae;GCW;Gr
Afzelia;bella;Afzelia bella;Fabaceae;GCW;mP
Agelaea;paradoxa;Agelaea paradoxa;Connaraceae;GC;LmP
Agelaea;pentagyna;Agelaea pentagyna;Connaraceae;GC;LmP
Ageratum;conyzoides;Ageratum conyzoides;Asteraceae;GC-SZ;Th
Alafia;barteri;Alafia barteri;Apocynaceae;GC;LmP
Alafia;whytei;Alafia whytei;Apocynaceae;GC;LmP
Albizia;adianthifolia;Albizia adianthifolia;Fabaceae;GC;mP
Albizia;zygia;Albizia zygia;Fabaceae;GC-SZ;mP
Alchornea;cordifolia;Alchornea cordifolia;Euphobiaceae;GC-SZ;Lmp (mp)
Alstonia;boonei;Alstonia boonei;Apocynaceae;GC;mP
Ampelocissus;leonensis;Ampelocissus leonensis;Vitaceae;GC-SZ;Lmp
Amphimas;pterocarpoides;Amphimas pterocarpoides;Meliaceae;GC;MP
Ananas;comosus;Ananas comosus;Bromeliaceae;PAN (Introd);H
Aniseia;martinicensis;Aniseia martinicensis;Convolvulaceae;GC;Lmp
Annickia;polycarpa;Annickia polycarpa;Annonaceae;GC;mP
Annona;muricata;Annona muricata;Annonaceae;PAN (Introd);mp
Anthocleista;djalonensis;Anthocleista djalonensis;Gentianaceae;GC-SZ;mp
Anthocleista;nobilis;Anthocleista nobilis;Gentianaceae;GCW;mp
Anthocleista;vogelii;Anthocleista vogelii;Gentianaceae;GC;mp
Antiaris;toxicaria;Antiaris toxicaria;Moraceae;GC-SZ;mP
Axonopus;compressus;Axonopus compressus;Poaceae;GC;Hc
Baissea;zygodioides;Baissea zygodioides;Apocynaceae;GCW;Lmp
Bambusa;vulgaris;Bambusa vulgaris;Poaceae;GC-SZ;Gr
Baphia;capparidifolia;Baphia capparidifolia;Fabaceae;GC;Lmp
Baphia;nitida;Baphia nitida;Fabaceae;GC;mp
Baphia;pubescens;Baphia pubescens;Fabaceae;GC;mp
Berlinia;occidentalis;Berlinia occidentalis;Fabaceae;GCWS3;MP
Bertiera;bracteolata;Bertiera bracteolata;Rubiaceae;GC;np
Bertiera;breviflora;Bertiera breviflora;Rubiaceae;GC;np
Blighia;sapida;Blighia sapida;Sapindaceae;GC-SZ;mP
Bombax;brevicuspe;Bombax brevicuspe;Malvaceae;GC;MP
Bombax;buonopozense;Bombax buonopozense;Malvaceae;GC;MP
Bridelia;grandis;Bridelia grandis;Phyllanthaceae;GC;mP
Bridelia;micrantha;Bridelia micrantha;Phyllanthaceae;GC;mp
Bussea;occidentalis;Bussea occidentalis;Euphorbiaceae;GC;mP
Caloncoba;brevipes;Caloncoba brevipes;Achariaceae;GCW;mp
Caloncoba;echinata;Caloncoba echinata;Achariaceae;GCWS2;mp
Calopogonium;mucunoides;Calopogonium mucunoides;Fabaceae;GC;Lmp
Calpocalyx;aubrevillei;Calpocalyx aubrevillei;Fabaceae;GCWS2;mP
Calpocalyx;brevibracteatus;Calpocalyx brevibracteatus;Fabaceae;GC;mP
Campylospermum;duparquetianum;Campylospermum duparquetianum;Ochnaceae;GCWS5;np
Carica;papaya;Carica papaya;Caricaceae;PAN;mp
Carpolobia;lutea;Carpolobia lutea;Polygalaceae;GC;np
Cassia;absus;Cassia absus;Fabaceae;GC-SZ;np
Cassia;occidentalis;Cassia occidentalis;Fabaceae;GC-SZ;np
Ceiba;pentandra;Ceiba pentandra;Malvaceae;GC-SZ;MP
Centrosema;pubescens;Centrosema pubescens;Fabaceae;GC;Lmp
Chassalia;kolly;Chassalia kolly;Rubiaceae;GC;np
Chidlowia;sanguinea;Chidlowia sanguinea;Fabaceae;GCWS4;mP
Chlamydocarya;macrocarpa;Chlamydocarya macrocarpa;Icacinaceae;GC;Lmp
Chlamydocarya;thomsoniana;Chlamydocarya thomsoniana;Icacinaceae;GC;Lmp
Christiana;africana;Christiana africana;Malvaceae;GC-SZ;mp
Chromolaena;odorata;Chromolaena odorata;Compositae;GC;np
Chrysophyllum;subnudum;Chrysophyllum subnudum;Sapotaceae;GC;mP
Cissampelos;mucronata;Cissampelos mucronata;Menispermaceae;SZ;Lmp
Cissus;aralioides;Cissus aralioides;Vitaceae;GC-SZ;Lmp
Cissus;petiolata;Cissus petiolata;Vitaceae;GC-SZ;LmP
Cissus;producta;Cissus producta;Vitaceae;GC;Lmp
Citrus;auranthifolia;Citrus auranthifolia;Rutaceae;PAN (Introd);mp
Citrus;sinensis;Citrus sinensis;Rutaceae;PAN (Introd);mp
Cleistopholis;patens;Cleistopholis patens;Annonaceae;GC;mP
Clerodendrum;capitatum;Clerodendrum capitatum;Lamiaceae;GC-SZ;np
Clerodendrum;formicarum;Clerodendrum formicarum;Lamiaceae;GC;Lmp
Clerodendrum;silvanum;Clerodendrum silvanum;Lamiaceae;GC;np
Clerodendrum;splendens;Clerodendrum splendens;Lamiaceae;GC;Lmp
Clerodendrum;thyrsoideum;Clerodendrum thyrsoideum;Lamiaceae;GC-SZ;Lmp
Clerodendrum;umbellatum;Clerodendrum umbellatum;Lamiaceae;GC;Lmp
Clerodendrum;volubile;Clerodendrum volubile;Lamiaceae;GC;np
Cnestis;corniculata;Cnestis corniculata;Connaraceae;GCWS4;Lmp
Cnestis;ferruginea;Cnestis ferruginea;Connaraceae;GC;Lmp
Coccinia;barteri;Coccinia barteri;Connaraceae;GC;Lmp
Cocos;nucifera;Cocos nucifera;Arecaceae;PAN (Introd);mp
Coffea;canephora;Coffea canephora;Rubiaceae;GC;mp
Coffea;liberica;Coffea liberica;Rubiaceae;GC;mp
Cola;caricifolia;Cola caricifolia;Malvaceae;GCW;mp
Cola;heterophylla;Cola heterophylla;Malvaceae;GC;mp
Cola;lateritia;Cola lateritia;Malvaceae;GC;mp
Cola;nitida;Cola nitida;Malvaceae;GC;mP
Combretum;bipindense;Combretum bipindense;Combretaceae;GC;mp
Combretum;comosum;Combretum comosum;Combretaceae;GCW;Lmp
Combretum;dolichopetalum;Combretum dolichopetalum;Combretaceae;GC;mp
Combretum;fuscum;Combretum fuscum;Combretaceae;GC;Lmp
Combretum;grandiflorum;Combretum grandiflorum;Combretaceae;GCW;LmP
Combretum;indicum;Combretum indicum;Combretaceae;GC-SZ;Lmp
Combretum;micranthum;Combretum micranthum;Combretaceae;GC;Lmp
Combretum;mucronatum;Combretum mucronatum;Combretaceae;GC;Lmp
Combretum;paniculatum;Combretum paniculatum;Combretaceae;GC-SZ;Lmp
Combretum;racemosum;Combretum racemosum;Combretaceae;GC;LmP
Combretum;zenkeri;Combretum zenkeri;Combretaceae;GC;Lmp
Commelina;diffusa;Commelina diffusa;Commelinaceae;GC-SZ;np
Connarus;africanus;Connarus africanus;Connaraceae;GC;LmP
Cordia;platythyrsa;Cordia platythyrsa;Boraginaceae;GC;mP
Costus;afer;Costus afer;Costaceae;GC;np
Costus;dubius;Costus dubius;Costaceae;GC;np
Culcasia;scadens;Culcasia scadens;Araceae;GC;Lmp (Se-Epi)
Cyperus;exaltatus;Cyperus exaltatus;Cyperaceae;GC-SZ;Hc
Cyphostemma;adenopodum;Cyphostemma adenopodum;Vitaceae;GC;Lmp
Dalbergia;adamii;Dalbergia adamii;Fabaceae;GC;Lmp
Dalbergia;rugosa;Dalbergia rugosa;Fabaceae;GC;Lmp
Dalbergia;saxatilis;Dalbergia saxatilis;Fabaceae;GC;Lmp
Dalbergiella;welwitschii;Dalbergiella welwitschii;Fabaceae;GC;Lmp
Daniellia;thurifera;Daniellia thurifera;Fabaceae;GCW;mP
Deinbollia;pinnata;Deinbollia pinnata;Sapindaceae;GC;np
Desmodium;adscendens;Desmodium adscendens;Fabaceae;GC;Ch
